REGIÃO ,PAÍS,CONSUMO DE PETRÓLEO em mil barris por dia,ANO
América do Norte,Canadá,2332,643509,2010
América do Norte,Estados Unidos,18324,38372,2010
América do Norte,México,2039,738801,2010
Américas Central e do Sul,Argentina,581,8054948,2010
Américas Central e do Sul,Brasil,2271,41358,2010
Américas Central e do Sul,Chile,342,6394997,2010
Américas Central e do Sul,Colômbia,255,7907646,2010
Américas Central e do Sul,Equador,220,3308327,2010
Américas Central e do Sul,Peru,186,0581932,2010
Américas Central e do Sul,Trinidad e Tobago,45,03434247,2010
Américas Central e do Sul,Venezuela,725,4184658,2010
Américas Central e do Sul,Outros,1162,083939,2010
Europa,Alemanha,2372,844658,2010
Europa,Áustria,262,373476,2010
Europa,Bélgica,691,4610183,2010
Europa,Bulgária,85,68121128,2010
Europa,Chipre,55,45852055,2010
Europa,Croácia,76,33793699,2010
Europa,Dinamarca,170,2729396,2010
Europa,Eslováquia,79,05996919,2010
Europa,Eslovênia,54,41504498,2010
Europa,Espanha,1412,511491,2010
Europa,Estônia,27,55856157,2010
Europa,Finlândia ,219,2192384,2010
Europa,França,1703,336544,2010
Europa,Grécia ,379,750815,2010
Europa,Holanda,957,4790422,2010
Europa,Hungria,141,2755467,2010
Europa,Islândia,14,54333764,2010
Europa,Irlanda,155,8641638,2010
Europa,Itália,1499,564658,2010
Europa,Letônia,35,7203682,2010
Europa,Lituânia,53,90461918,2010
Europa,Luxemburgo,59,0283242,2010
Europa,Macedônia,18,93838951,2010
Europa,Noruega,230,6282724,2010
Europa,Polônia,577,4030203,2010
Europa,Portugal,264,8762965,2010
Europa,Reino Unido,1604,251755,2010
Europa,República Tcheca,188,5239178,2010
Europa,Romênia,180,9653699,2010
Europa,Suécia,315,3620433,2010
Europa,Suíça,241,5325421,2010
Europa,Turquia,693,5010137,2010
Europa,Ucrânia,267,2064055,2010
Europa,Outros,318,5106944,2010
Comunidade dos Estados Independentes,Azerbaijão,72,19833973,2010
Comunidade dos Estados Independentes,Belarus,149,1069863,2010
Comunidade dos Estados Independentes,Cazaquistão,210,5358913,2010
Comunidade dos Estados Independentes,Rússia,2877,820781,2010
Comunidade dos Estados Independentes,Turcomenistão,117,9220548,2010
Comunidade dos Estados Independentes,Uzbequistão,75,6270411,2010
Comunidade dos Estados Independentes,Outros,62,70498737,2010
Oriente Médio,Arábia Saudita,3205,641413,2010
Oriente Médio,Catar,190,576353,2010
Oriente Médio,Coveite,478,1600304,2010
Oriente Médio,Emirados Árabes Unidos,653,9884384,2010
Oriente Médio,Irã,1788,442955,2010
Oriente Médio,Iraque,570,0641921,2010
Oriente Médio,Israel,240,6204595,2010
Oriente Médio,Omã,135,4524384,2010
Oriente Médio,Outros,724,1082148,2010
África,África do Sul,538,3880534,2010
África,África Central,197,9626994,2010
África,África Ocidental,543,0958502,2010
África,África Oriental,420,1666921,2010
África,Argélia,326,9479452,2010
África,Egito,765,8140407,2010
África,Marrocos,258,0928048,2010
África,Outros Norte da África,390,7612466,2010
África,Outros Sul da África,47,37078356,2010
Ásia-Pacífico,Austrália,906,693863,2010
Ásia-Pacífico,Bangladesh,80,63785403,2010
Ásia-Pacífico,China,9389,606271,2010
Ásia-Pacífico,Cingapura,1156,736274,2010
Ásia-Pacífico,Coreia do Sul,2370,091068,2010
Ásia-Pacífico,Hong Kong,358,9849166,2010
Ásia-Pacífico,Filipinas,306,8800807,2010
Ásia-Pacífico,Índia,3378,134461,2010
Ásia-Pacífico,Indonésia,1411,139261,2010
Ásia-Pacífico,Japão,4434,239918,2010
Ásia-Pacífico,Malásia,687,6669904,2010
Ásia-Pacífico,Nova Zelândia,150,0025599,2010
Ásia-Pacífico,Paquistão,411,2030753,2010
Ásia-Pacífico,Sri Lanka,87,0254919,2010
Ásia-Pacífico,Tailândia,1104,157907,2010
Ásia-Pacífico,Taiwan,1043,414895,2010
Ásia-Pacífico,Vietnã,332,2916164,2010
Ásia-Pacífico,Outros,308,4255698,2010
América do Norte,Canadá,2396,54876,2011
América do Norte,Estados Unidos,17983,21658,2011
América do Norte,México,2065,143677,2011
Américas Central e do Sul,Argentina,591,2905766,2011
Américas Central e do Sul,Brasil,2431,729878,2011
Américas Central e do Sul,Chile,371,0099207,2011
Américas Central e do Sul,Colômbia,274,2295801,2011
Américas Central e do Sul,Equador,226,0078917,2011
Américas Central e do Sul,Peru,214,6746675,2011
